car name,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin
chevrolet chevelle malibu,18.0,8,307.0,130,3504,12.0,70,1
buick skylark 320,15.0,8,350.0,165,3693,11.5,70,1
plymouth satellite,18.0,8,318.0,150,3436,11.0,70,1
amc rebel sst,16.0,8,304.0,150,3433,12.0,70,1
ford torino,17.0,8,302.0,140,3449,10.5,70,1
ford galaxie 500,15.0,8,429.0,198,4341,10.0,70,1
chevrolet impala,14.0,8,454.0,220,4354,9.0,70,1
plymouth fury iii,14.0,8,440.0,215,4312,8.5,70,1
pontiac catalina,14.0,8,455.0,225,4425,10.0,70,1
amc ambassador dpl,15.0,8,390.0,190,3850,8.5,70,1
dodge challenger se,15.0,8,383.0,170,3563,10.0,70,1
plymouth 'cuda 340,14.0,8,340.0,160,3609,8.0,70,1
chevrolet monte carlo,15.0,8,400.0,150,3761,9.5,70,1
buick estate wagon (sw),14.0,8,455.0,225,3086,10.0,70,1
toyota corona mark ii,24.0,4,113.0,95,2372,15.0,70,3
plymouth duster,22.0,6,198.0,95,2833,15.5,70,1
amc hornet,18.0,6,199.0,97,2774,15.5,70,1
ford maverick,21.0,6,200.0,85,2587,16.0,70,1
datsun pl510,27.0,4,97.0,88,2130,14.5,70,3
volkswagen 1131 deluxe sedan,26.0,4,97.0,46,1835,20.5,70,2
peugeot 504,25.0,4,110.0,87,2672,17.5,70,2
audi 100 ls,24.0,4,107.0,90,2430,14.5,70,2
saab 99e,25.0,4,104.0,95,2375,17.5,70,2
bmw 2002,26.0,4,121.0,113,2234,12.5,70,2
amc gremlin,21.0,6,199.0,90,2648,15.0,70,1
ford f250,10.0,8,360.0,215,4615,14.0,70,1
chevy c20,10.0,8,307.0,200,4376,15.0,70,1
dodge d200,11.0,8,318.0,210,4382,13.5,70,1
hi 1200d,9.0,8,304.0,193,4732,18.5,70,1
datsun pl510,27.0,4,97.0,88,2130,14.5,71,3
chevrolet vega 2300,28.0,4,140.0,90,2264,15.5,71,1
toyota corona,25.0,4,113.0,95,2228,14.0,71,3
amc gremlin,19.0,6,232.0,100,2634,13.0,71,1
plymouth satellite custom,16.0,6,225.0,105,3439,15.5,71,1
chevrolet chevelle malibu,17.0,6,250.0,100,3329,15.5,71,1
ford torino 500,19.0,6,250.0,88,3302,15.5,71,1
amc matador,18.0,6,232.0,100,3288,15.5,71,1
chevrolet impala,14.0,8,350.0,165,4209,12.0,71,1
pontiac catalina brougham,14.0,8,400.0,175,4464,11.5,71,1
ford galaxie 500,14.0,8,351.0,153,4154,13.5,71,1
plymouth fury iii,14.0,8,318.0,150,4096,13.0,71,1
dodge monaco (sw),12.0,8,383.0,180,4955,11.5,71,1
ford country squire (sw),13.0,8,400.0,170,4746,12.0,71,1
pontiac safari (sw),13.0,8,400.0,175,5140,12.0,71,1
amc hornet sportabout (sw),18.0,6,258.0,110,2962,13.5,71,1
chevrolet vega (sw),22.0,4,140.0,72,2408,19.0,71,1
pontiac firebird,19.0,6,250.0,100,3282,15.0,71,1
ford mustang,18.0,6,250.0,88,3139,14.5,71,1
mercury capri 2000,23.0,4,122.0,86,2220,14.0,71,1
opel 1900,28.0,4,116.0,90,2123,14.0,71,2
peugeot 304,30.0,4,79.0,70,2074,19.5,71,2
fiat 124b,30.0,4,88.0,76,2065,14.5,71,2
toyota corolla 1200,31.0,4,71.0,65,1773,19.0,71,3
datsun 1200,35.0,4,72.0,69,1613,18.0,71,3
volkswagen model 111,27.0,4,97.0,60,1834,19.0,71,2
plymouth cricket,26.0,4,91.0,70,1955,20.5,71,1
toyota corona hardtop,24.0,4,113.0,95,2278,15.5,72,3
dodge colt hardtop,25.0,4,97.5,80,2126,17.0,72,1
volkswagen type 3,23.0,4,97.0,54,2254,23.5,72,2
chevrolet vega,20.0,4,140.0,90,2408,19.5,72,1
ford pinto runabout,21.0,4,122.0,86,2226,16.5,72,1
chevrolet impala,13.0,8,350.0,165,4274,12.0,72,1
pontiac catalina,14.0,8,400.0,175,4385,12.0,72,1
plymouth fury iii,15.0,8,318.0,150,4135,13.5,72,1
ford galaxie 500,14.0,8,351.0,153,4129,13.0,72,1
amc ambassador sst,17.0,8,304.0,150,3672,11.5,72,1
mercury marquis,11.0,8,429.0,208,4633,11.0,72,1
buick lesabre custom,13.0,8,350.0,155,4502,13.5,72,1
oldsmobile delta 88 royale,12.0,8,350.0,160,4456,13.5,72,1
chrysler newport royal,13.0,8,400.0,190,4422,12.5,72,1
mazda rx2 coupe,19.0,3,70.0,97,2330,13.5,72,3
amc matador (sw),15.0,8,304.0,150,3892,12.5,72,1
chevrolet chevelle concours (sw),13.0,8,307.0,130,4098,14.0,72,1
ford gran torino (sw),13.0,8,302.0,140,4294,16.0,72,1
plymouth satellite custom (sw),14.0,8,318.0,150,4077,14.0,72,1
volvo 145e (sw),18.0,4,121.0,112,2933,14.5,72,2
volkswagen 411 (sw),22.0,4,121.0,76,2511,18.0,72,2
peugeot 504 (sw),21.0,4,120.0,87,2979,19.5,72,2
renault 12 (sw),26.0,4,96.0,69,2189,18.0,72,2
ford pinto (sw),22.0,4,122.0,86,2395,16.0,72,1
datsun 510 (sw),28.0,4,97.0,92,2288,17.0,72,3
toyouta corona mark ii (sw),23.0,4,120.0,97,2506,14.5,72,3
dodge colt (sw),28.0,4,98.0,80,2164,15.0,72,1
toyota corolla 1600 (sw),27.0,4,97.0,88,2100,16.5,72,3
buick century 350,13.0,8,350.0,175,4100,13.0,73,1
amc matador,14.0,8,304.0,150,3672,11.5,73,1
chevrolet malibu,13.0,8,350.0,145,3988,13.0,73,1
ford gran torino,14.0,8,302.0,137,4042,14.5,73,1
dodge coronet custom,15.0,8,318.0,150,3777,12.5,73,1
mercury marquis brougham,12.0,8,429.0,198,4952,11.5,73,1
chevrolet caprice classic,13.0,8,400.0,150,4464,12.0,73,1
ford ltd,13.0,8,351.0,158,4363,13.0,73,1
plymouth fury gran sedan,14.0,8,318.0,150,4237,14.5,73,1
chrysler new yorker brougham,13.0,8,440.0,215,4735,11.0,73,1
buick electra 225 custom,12.0,8,455.0,225,4951,11.0,73,1
amc ambassador brougham,13.0,8,360.0,175,3821,11.0,73,1
plymouth valiant,18.0,6,225.0,105,3121,16.5,73,1
chevrolet nova custom,16.0,6,250.0,100,3278,18.0,73,1
amc hornet,18.0,6,232.0,100,2945,16.0,73,1
ford maverick,18.0,6,250.0,88,3021,16.5,73,1
plymouth duster,23.0,6,198.0,95,2904,16.0,73,1
volkswagen super beetle,26.0,4,97.0,46,1950,21.0,73,2
chevrolet impala,11.0,8,400.0,150,4997,14.0,73,1
ford country,12.0,8,400.0,167,4906,12.5,73,1
plymouth custom suburb,13.0,8,360.0,170,4654,13.0,73,1
oldsmobile vista cruiser,12.0,8,350.0,180,4499,12.5,73,1
amc gremlin,18.0,6,232.0,100,2789,15.0,73,1
toyota carina,20.0,4,97.0,88,2279,19.0,73,3
chevrolet vega,21.0,4,140.0,72,2401,19.5,73,1
datsun 610,22.0,4,108.0,94,2379,16.5,73,3
maxda rx3,18.0,3,70.0,90,2124,13.5,73,3
ford pinto,19.0,4,122.0,85,2310,18.5,73,1
mercury capri v6,21.0,6,155.0,107,2472,14.0,73,1
fiat 124 sport coupe,26.0,4,98.0,90,2265,15.5,73,2
chevrolet monte carlo s,15.0,8,350.0,145,4082,13.0,73,1
pontiac grand prix,16.0,8,400.0,230,4278,9.5,73,1
fiat 128,29.0,4,68.0,49,1867,19.5,73,2
opel manta,24.0,4,116.0,75,2158,15.5,73,2
audi 100ls,20.0,4,114.0,91,2582,14.0,73,2
