customerID,phoneservice,internetservice,onlinesecurity,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,churn,tenure,monthlycharges
7590-VHVEG,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,No,1,29.85
5575-GNVDE,Yes,DSL,Yes,No,No,No,One year,No,Mailed check,No,34,56.95
3668-QPYBK,Yes,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,Yes,2,53.85
7795-CFOCW,No,DSL,Yes,Yes,No,No,One year,No,Bank transfer (automatic),No,45,42.3
9237-HQITU,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,2,70.7
9305-CDSKC,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,8,99.65
1452-KIOVK,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),No,22,89.1
6713-OKOMC,No,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,No,10,29.75
7892-POOKP,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,28,104.8
6388-TABGU,Yes,DSL,Yes,No,No,No,One year,No,Bank transfer (automatic),No,62,56.15
9763-GRSKD,Yes,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,No,13,49.95
7469-LKBCI,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),No,16,18.95
8091-TTVAX,Yes,Fiber optic,No,No,Yes,Yes,One year,No,Credit card (automatic),No,58,100.35
0280-XJGEX,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,49,103.7
5129-JLPIS,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,25,105.5
3655-SNQYZ,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),No,69,113.25
8191-XWSZG,Yes,No,No,No,No,No,One year,No,Mailed check,No,52,20.65
9959-WOFKT,Yes,Fiber optic,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),No,71,106.7
4190-MFLUW,Yes,DSL,No,Yes,No,No,Month-to-month,No,Credit card (automatic),Yes,10,55.2
4183-MYFRB,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,No,21,90.05
8779-QRDMV,No,DSL,No,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,1,39.65
1680-VDCWW,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),No,12,19.8
1066-JKSGK,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,Yes,1,20.15
3638-WEABW,Yes,DSL,No,Yes,No,No,Two year,Yes,Credit card (automatic),No,58,59.9
6322-HRPFA,Yes,DSL,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),No,49,59.6
6865-JZNKO,Yes,DSL,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),No,30,55.3
6467-CHFZW,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,47,99.35
8665-UTDHZ,No,DSL,No,No,No,No,Month-to-month,No,Electronic check,Yes,1,30.2
5248-YGIJN,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,72,90.25
